Arienti;Brunilde;brunilde.arienti@gmail.it
Bertanzi Bianchin;Gianbattista;gianbattista.bertanzibianchin@gmail.com
Mauriello;Natale;natale.mauriello@yahoo.it
Galuppo Cimarosto;Marino Decimo Tiziano;marinodecimotiziano.galuppocimarosto@lycos.it
Candotti;Venanzio;venanzio.candotti@katamail.it
Gosparini;Oscar;oscar.gosparini@lycos.it
Frezzolini;Ottilia;ottilia.frezzolini@virgilio.it
Capilungo;Napoleone Nicolò;napoleonenicol.capilungo@virgilio.it
Marrocco Palmiotti;Pericle;peri.marr@gmail.com
Cardarello Veschi;Leandro;leandro.cardarelloveschi@tin.it
Mambretti Inghirami;Pippo;pippo.mambrettiinghirami@aruba.it
Fappani;Aurelia;aure.fapp@yahoo.it
Tosoni;Aristo Donato;aristodonato.tosoni@virgilio.it
Mancone;Graziano;graziano.mancone@tin.it
Cazzulani;Benito Ruperto;benitoruperto.cazzulani@gmail.com
Sargenti;Igor;igor.sargenti@hotmail.com
Soffientini;Donatella;dsoffientini@gmail.it
Bacelieri Fassa;Abramo Giordano;abramogiordano.bacelierifass
Aloise;Marianna;marianna.aloise@aruba.it
Vicinanza Pudda;Graziano Ugolino;graz.vici@tele2.it
Alisio;Barnaba;barnaba.alisio@teletu.it
Liotto;Oliviero;oliviero.liotto@teletu.it
Turrina Avanzini;Fiammetta;fiam.turr@yahoo.com
Ciaralli;Rodrigo;rodr.ciar@tele2.it
Lanzarotto;Spartaco;spartaco.lanzarotto@virgilio.it
Migliavacca;Gianpaolo;gian.migl@yahoo.com
Freri;Lea Piera;leapiera.freri@yahoo.com
Vicario;Fabiano;fvicario@yahoo.com
Amellio;Eusebio;eusebio.amellio@teletu.it
Ferrilli;Adamo;adam.ferr@gmail.com
Goretta;Ladislao Lazzaro;ladi.gore@lycos.it
Lorenzini Cavallo;Girolamo;g.lorenzinicavallo@libero.it
Fabbrica;Aleandro;aleandro.fabbrica@lycos.it
Giancolo;Luciano;luciano.giancolo@aruba.it
Alessandrelli;Romolo Fabrizio;romolofabrizio.alessandrelli@tiscali.it
Scarlatti Antoniotto;Ines;ines.scarlattiantoniotto@yahoo.it
Isajia;Biagio;b.isajia@gmail.com
Cabella;Leonardo;leonardo.cabella@virgilio.it
Biamonte;Federico;fede.biam@gmail.com
Piscopiello;Alberico Orazio;albericoorazio.piscopiello@gmail.it
Panizzoli;Carmine;c.panizzoli@teletu.it
Negrello;Ornella Guenda;ornellaguenda.negrello@gmail.it
Consolo Vialardi;Lanfranco;lanfranco.consolovialardi@yahoo.it
