s000000;Arienti;Brunilde;brunilde.arienti@gmail.it
s000001;Bertanzi Bianchin;Gianbattista;gianbattista.bertanzibianchin@gmail.com
s000002;Mauriello;Natale;natale.mauriello@yahoo.it
s000003;Galuppo Cimarosto;Marino Decimo Tiziano;marinodecimotiziano.galuppocimarosto@lycos.it
s000004;Candotti;Venanzio;venanzio.candotti@katamail.it
s000005;Arnau;Enea;enea.arnau@aruba.it
s000006;Germino;Amalia Giada;amal.germ@katamail.it
s000007;De Cristofano;Elettra;elettra.decristofano@yahoo.com
s000008;Aloise;Marianna;marianna.aloise@aruba.it
s000009;Vicinanza Pudda;Graziano Ugolino;graz.vici@tele2.it
s000010;Alisio;Barnaba;barnaba.alisio@teletu.it
s000011;Liotto;Oliviero;oliviero.liotto@teletu.it
s000012;Turrina Avanzini;Fiammetta;fiam.turr@yahoo.com
s000013;Ciaralli;Rodrigo;rodr.ciar@tele2.it
s000014;Lanzarotto;Spartaco;spartaco.lanzarotto@virgilio.it
s000015;Migliavacca;Gianpaolo;gian.migl@yahoo.com
s000016;Freri;Lea Piera;leapiera.freri@yahoo.com
s000017;Vicario;Fabiano;fvicario@yahoo.com
s000018;Amellio;Eusebio;eusebio.amellio@teletu.it
s000019;Ferrilli;Adamo;adam.ferr@gmail.com
s000020;Goretta;Ladislao Lazzaro;ladi.gore@lycos.it
s000021;Lorenzini Cavallo;Girolamo;g.lorenzinicavallo@libero.it
s000022;Fabbrica;Aleandro;aleandro.fabbrica@lycos.it
s000023;Giancolo;Luciano;luciano.giancolo@aruba.it
s000024;Alessandrelli;Romolo Fabrizio;romolofabrizio.alessandrelli@tiscali.it
s000025;Scarlatti Antoniotto;Ines;ines.scarlattiantoniotto@yahoo.it
s000026;Isajia;Biagio;b.isajia@gmail.com
s000027;Cabella;Leonardo;leonardo.cabella@virgilio.it
s000028;Biamonte;Federico;fede.biam@gmail.com
s000029;Piscopiello;Alberico Orazio;albericoorazio.piscopiello@gmail.it
s000030;Panizzoli;Carmine;c.panizzoli@teletu.it
s000031;Negrello;Ornella Guenda;ornellaguenda.negrello@gmail.it
s000032;Consolo Vialardi;Lanfranco;lanfranco.consolovialardi@yahoo.it
s000033;Panarelli;Cino;cino.panarelli@lycos.it
s000034;Gosparini;Oscar;oscar.gosparini@lycos.it
s000035;Frezzolini;Ottilia;ottilia.frezzolini@virgilio.it
s000036;Capilungo;Napoleone Nicolò;napoleonenicol.capilungo@virgilio.it
s000037;Marrocco Palmiotti;Pericle;peri.marr@gmail.com
s000038;Cardarello Veschi;Leandro;leandro.cardarelloveschi@tin.it
s000039;Mambretti Inghirami;Pippo;pippo.mambrettiinghirami@aruba.it
s000040;Fappani;Aurelia;aure.fapp@yahoo.it
s000041;Tosoni;Aristo Donato;aristodonato.tosoni@virgilio.it
s000042;Mancone;Graziano;graziano.mancone@tin.it
s000043;Cazzulani;Benito Ruperto;benitoruperto.cazzulani@gmail.com
s000044;Sargenti;Igor;igor.sargenti@hotmail.com
s000045;Soffientini;Donatella;dsoffientini@gmail.it
s000046;Bacelieri Fassa;Abramo Giordano;abramogiordano.bacelierifassa@gmail.com
s000047;Brioschi;Adolfo;adolfo.brioschi@hotmail.com
s000048;Barbin;Ardito Adelchi;abarbin@virgilio.it
s000049;Carfagna Aleppi;Bianca;bian.carf@yahoo.it
s000050;Tuozzo;Lisa;lisa.tuozzo@tin.it
s000051;Poggiato;Bernardo Ulisse;bernardoulisse.poggiato@yahoo.com
s000052;Gaj Agazzi;Tiziano;t.gajagazzi@tele2.it
s000053;Urbini Ruggerini;Cassio;cassio.urbiniruggerini@aruba.it
s000054;Fania;Palmira Nicla;palmiranicla.fania@lycos.it
s000055;Cirignotta;Susanna;susanna.cirignotta@libero.it
s000056;Falchetto;Luca;l.falchetto@tin.it
s000057;Loiodice;Rinaldo;rinaldo.loiodice@gmail.com
s000058;Fittipaldi;Loredana;loredana.fittipaldi@katamail.it
s000059;Triggiani Barbà;Gaspare;gaspare.triggianibarb@libero.it
s000060;Ribaudo;Amedeo Nico;amed.riba@teletu.it
s000061;Ucchino;Maffeo Mattia;maff.ucch@yahoo.it
s000062;Pallucca;Simonetta;simonetta.pallucca@tele2.it
s000063;Correddu;Florina;flor.corr@libero.it
s000064;Bigioli;Rosamunda;rosamunda.bigioli@teletu.it
s000065;Prignano;Rosa Aurora;r.prignano@libero.it
s000066;Pont;Alarico;alarico.pont@virgilio.it
s000067;Fusari;Savino;s.fusari@katamail.it
s000068;Maccagni;Bianca;bianca.maccagni@tiscali.it
s000069;Mione;Edvige;edvige.mione@gmail.com
