d000001;Arienti;Brunilde;brunilde.arienti@gmail.it
d000002;Bertanzi Bianchin;Gianbattista;gianbattista.bertanzibianchin@gmail.com
d000003;Mauriello;Natale;natale.mauriello@yahoo.it
d000004;Galuppo Cimarosto;Marino Decimo Tiziano;marinodecimotiziano.galuppocimarosto@lycos.it
d000005;Candotti;Venanzio;venanzio.candotti@katamail.it
d000006;Gosparini;Oscar;oscar.gosparini@lycos.it
d000007;Frezzolini;Ottilia;ottilia.frezzolini@virgilio.it
d000008;Capilungo;Napoleone Nicolò;napoleonenicol.capilungo@virgilio.it
d000009;Marrocco Palmiotti;Pericle;peri.marr@gmail.com
d000010;Cardarello Veschi;Leandro;leandro.cardarelloveschi@tin.it
d000011;Mambretti Inghirami;Pippo;pippo.mambrettiinghirami@aruba.it
d000012;Fappani;Aurelia;aure.fapp@yahoo.it
d000013;Tosoni;Aristo Donato;aristodonato.tosoni@virgilio.it
d000014;Mancone;Graziano;graziano.mancone@tin.it
d000015;Cazzulani;Benito Ruperto;benitoruperto.cazzulani@gmail.com
d000016;Sargenti;Igor;igor.sargenti@hotmail.com
d000017;Soffientini;Donatella;dsoffientini@gmail.it
d000018;Bacelieri Fassa;Abramo Giordano;abramogiordano.bacelierifass
d000019;Aloise;Marianna;marianna.aloise@aruba.it
d000020;Vicinanza Pudda;Graziano Ugolino;graz.vici@tele2.it
d000021;Alisio;Barnaba;barnaba.alisio@teletu.it
d000022;Liotto;Oliviero;oliviero.liotto@teletu.it
d000023;Turrina Avanzini;Fiammetta;fiam.turr@yahoo.com
d000024;Ciaralli;Rodrigo;rodr.ciar@tele2.it
d000025;Lanzarotto;Spartaco;spartaco.lanzarotto@virgilio.it
d000026;Migliavacca;Gianpaolo;gian.migl@yahoo.com
d000027;Freri;Lea Piera;leapiera.freri@yahoo.com
d000028;Vicario;Fabiano;fvicario@yahoo.com
d000029;Amellio;Eusebio;eusebio.amellio@teletu.it
d000030;Ferrilli;Adamo;adam.ferr@gmail.com
d000031;Goretta;Ladislao Lazzaro;ladi.gore@lycos.it
d000032;Lorenzini Cavallo;Girolamo;g.lorenzinicavallo@libero.it
d000033;Fabbrica;Aleandro;aleandro.fabbrica@lycos.it
d000034;Giancolo;Luciano;luciano.giancolo@aruba.it
d000035;Alessandrelli;Romolo Fabrizio;romolofabrizio.alessandrelli@tiscali.it
d000036;Scarlatti Antoniotto;Ines;ines.scarlattiantoniotto@yahoo.it
d000037;Isajia;Biagio;b.isajia@gmail.com
d000038;Cabella;Leonardo;leonardo.cabella@virgilio.it
d000039;Biamonte;Federico;fede.biam@gmail.com
d000040;Piscopiello;Alberico Orazio;albericoorazio.piscopiello@gmail.it
d000041;Panizzoli;Carmine;c.panizzoli@teletu.it
d000042;Negrello;Ornella Guenda;ornellaguenda.negrello@gmail.it
d000043;Consolo Vialardi;Lanfranco;lanfranco.consolovialardi@yahoo.it
