d000001;Giuseppe;Musso;giuseppe.musso@wanadoo.fr
d000002;Maria;Cerrato;maria.cerrato@arcor.de
d000003;Andrea;Seferovic;andrea.seferovic@free.fr
d000004;Marco;Ferrero;marco.ferrero@ntlworld.com
d000005;Francesco;Viarengo;francesco.viarengo@shaw.ca
d000006;Alessandro;Conti;alessandro.conti@bluewin.ch
d000007;Giovanni;Bianco;giovanni.bianco@freenet.de
d000008;Roberto;Gallo;roberto.gallo@rambler.ru
d000009;Luca;Fassio;luca.fassio@blueyonder.co.uk
d000010;Antonio;Rosso;antonio.rosso@home.nl
d000011;Paolo;Raviola;paolo.raviola@live.com.au
d000012;Francesca;Amerio;francesca.amerio@t-online.de
d000013;Anna;Torchio;anna.torchio@yahoo.com.br
d000014;Davide;Marino;davide.marino@orange.fr
d000015;Matteo;Negro;matteo.negro@live.ca
d000016;Mario;Grasso;mario.grasso@terra.com.br
d000017;Giulia;Graziano;giulia.graziano@comcast.net
d000018;Luigi;Gamba;luigi.gamba@aliceadsl.fr
d000019;Paola;Barbero;paola.barbero@yahoo.it
d000020;Fabio;Hoxha;fabio.hoxha@frontiernet.net
d000021;Stefano;Palumbo;stefano.palumbo@libero.it
d000022;Salvatore;Penna;salvatore.penna@mac.com
d000023;Daniela;Russo;daniela.russo@windstream.net
d000024;Lorenzo;Nosenzo;lorenzo.nosenzo@bluewin.ch
d000025;Elena;Binello;elena.binello@att.net
d000026;Massimo;Rissone;massimo.rissone@freenet.de
d000027;Sara;Ferraris;sara.ferraris@earthlink.net
d000028;Chiara;Bruno;chiara.bruno@bigpond.com
d000029;Laura;Monticone;laura.monticone@bigpond.net.au
d000030;Giuseppina;Saracco;giuseppina.saracco@bluewin.ch
d000031;Giorgio;Nebiolo;giorgio.nebiolo@virgilio.it
d000032;Riccardo;Morra;riccardo.morra@yahoo.de
d000033;Anna;Carbone;anna.carbone@yahoo.it
d000034;Simone;Franco;simone.franco@optusnet.com.au
d000035;Rosa;Marello;rosa.marello@tin.it
d000036;Silvia;Pavese;silvia.pavese@skynet.be
d000037;Angela;Risso;angela.risso@hotmail.co.uk
d000038;Valentina;Marmo;valentina.marmo@mail.com
d000039;Alberto;Perosino;alberto.perosino@live.ca
d000040;Claudio;Bosia;claudio.bosia@live.com
d000041;Franco;Serra;franco.serra@web.de
d000042;Vincenzo;Falcone;vincenzo.falcone@aim.com
d000043;Carlo;Lombardo;carlo.lombardo@centurytel.net
d000044;Maurizio;Rossi;maurizio.rossi@rocketmail.com
d000045;Giovanna;Rizzo;giovanna.rizzo@hotmail.co.uk
d000046;Elisa;Avidano;elisa.avidano@yahoo.co.id
d000047;Martina;Valente;martina.valente@outlook.com
d000048;Patrizia;Schillaci;patrizia.schillaci@mail.ru
d000049;Federico;Brignolo;federico.brignolo@yahoo.de
d000050;Carla;Maggiora;carla.maggiora@ntlworld.com
d000051;Simona;Fornaca;simona.fornaca@yahoo.co.id
d000052;Angelo;Montrucchio;angelo.montrucchio@yahoo.fr
d000053;Cristina;Borio;cristina.borio@bellsouth.net
d000054;Mauro;Accornero;mauro.accornero@freenet.de
d000055;Gabriele;Cotto;gabriele.cotto@facebook.com
d000056;Alessia;Trinchero;alessia.trinchero@outlook.com
d000057;Pietro;Boano;pietro.boano@ntlworld.com
d000058;Lucia;Beganovic;lucia.beganovic@yahoo.es
d000059;Monica;Forno;monica.forno@yahoo.com.ar
d000060;Silvana;Longo;silvana.longo@live.it
d000061;Daniele;Cestari;daniele.cestari@live.fr
d000062;Rita;Gai;rita.gai@bigpond.com
d000063;Barbara;Arri;barbara.arri@bol.com.br
d000064;Michele;Bosticco;michele.bosticco@yandex.ru
d000065;Domenico;Valpreda;domenico.valpreda@hotmail.fr
d000066;Mattia;Gonella;mattia.gonella@telenet.be
d000067;Stefania;Boero;stefania.boero@neuf.fr
d000068;Giorgia;Costa;giorgia.costa@sfr.fr
d000069;Bruno;Scozzaro;bruno.scozzaro@charter.net
